time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.endpoint_state.header.seq,.endpoint_state.header.stamp.secs,.endpoint_state.header.stamp.nsecs,.endpoint_state.header.frame_id,.endpoint_state.pose.position.x,.endpoint_state.pose.position.y,.endpoint_state.pose.position.z,.endpoint_state.pose.orientation.x,.endpoint_state.pose.orientation.y,.endpoint_state.pose.orientation.z,.endpoint_state.pose.orientation.w,.endpoint_state.twist.linear.x,.endpoint_state.twist.linear.y,.endpoint_state.twist.linear.z,.endpoint_state.twist.angular.x,.endpoint_state.twist.angular.y,.endpoint_state.twist.angular.z,.endpoint_state.wrench.force.x,.endpoint_state.wrench.force.y,.endpoint_state.wrench.force.z,.endpoint_state.wrench.torque.x,.endpoint_state.wrench.torque.y,.endpoint_state.wrench.torque.z,.joint_state.header.seq,.joint_state.header.stamp.secs,.joint_state.header.stamp.nsecs,.joint_state.header.frame_id,.joint_state.name,.joint_state.position,.joint_state.velocity,.joint_state.effort,.wrench_stamped.header.seq,.wrench_stamped.header.stamp.secs,.wrench_stamped.header.stamp.nsecs,.wrench_stamped.header.frame_id,.wrench_stamped.wrench.force.x,.wrench_stamped.wrench.force.y,.wrench_stamped.wrench.force.z,.wrench_stamped.wrench.torque.x,.wrench_stamped.wrench.torque.y,.wrench_stamped.wrench.torque.z,.tag
2017/07/13/01:24:21.434947,488908,1499880265,697993958,,5429305,1499880265,697993958,,0.740471731848,-0.873666694188,0.330137858045,0.0990466593662,0.942053481611,-0.217015767314,0.235858334154,-0.00685475576624,-0.00498763091871,0.000675002640835,-0.00722163727455,0.00534457013736,-0.0193152945305,-5.38381099701,2.89105796814,3.59027457237,-0.598439097404,-2.16333150864,1.14749884605,5429650,1499880265,696082100,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.07094661143970038, -0.0023009711818281204, 0.7524175764577954, 0.0015339807878854137, -0.5476311412750927, 0.004218447166684887, 1.2551797796872397, -0.0015339807878854137, -0.972160324322381, 1.081839950656188, 0.5871311465631421, -0.8479078805036625, 0.698728248881806, 0.952602069276842, -0.8402379765642354, -12.565987119160338)","(0.0, 0.008246680714126275, 0.01610066234662749, 0.004319689897875668, 0.004319689897875668, -0.014922565101752308, -0.004319689897875668, 0.008246680714126275, -0.007461282550876154, -0.0200276531628781, 0.005890486224375911, 0.009032078877376396, 0.004319689897875668, -0.0035342917346255468, -0.0027488935713754254, 0.012173671530376884, 0.0)","(0.0, 0.0, -0.54, -14.708, 0.404, -23.404, 0.024, -0.008, -0.176, -11.028, -15.208, -0.372, -27.524, 0.636, -2.336, 0.028, -20.48)",541431,1499880261,427000488,robotiq_force_torque_frame_id,4.61999988556,-4.01999998093,15.3299999237,-0.0869999974966,-0.0340000018477,-0.0570000000298,0
2017/07/13/01:24:21.445860,488909,1499880265,708000612,,5429306,1499880265,708000612,,0.741815301717,-0.872068692354,0.329175037964,0.0980602767939,0.942369124859,-0.216060220166,0.235886828562,-0.016694310065,-0.0207255305935,0.00655281078281,-0.0202867393711,0.00619742132311,-0.0245752276049,-5.36872005463,3.11581134796,3.38121342659,-0.748281419277,-2.20382714272,1.06165218353,5429651,1499880265,706080471,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.07056311624272903, -0.0030679615757708274, 0.7528010716547668, 0.0019174759848567672, -0.5472476460781214, 0.004601942363656241, 1.2555632748842112, -0.0015339807878854137, -0.971009838731467, 1.081839950656188, 0.5882816321540562, -0.8471408901097197, 0.6994952392757486, 0.9529855644738133, -0.8406214717612067, -12.565987119160338)","(0.0, -0.01649336142825255, -0.018064157754752792, 0.003141592653000486, -0.0007853981632501215, -0.0007853981632501215, 0.0, 0.0007853981632501215, 0.010995574285501701, -0.014137166938502187, -0.0035342917346255468, -0.01610066234662749, 0.00039269908162506076, -0.008639379795751335, -0.004319689897875668, -0.0011780972448751821, 0.0)","(0.0, 0.0, -0.508, -14.676, 0.28, -23.372, 0.008, 0.008, -0.204, -11.0, -15.18, -0.28, -27.464, 0.636, -2.376, 0.044, -20.48)",541432,1499880261,435191015,robotiq_force_torque_frame_id,4.09999990463,-4.11999988556,15.8299999237,-0.10000000149,-0.0209999997169,-0.0509999990463,0
2017/07/13/01:24:21.455232,488910,1499880265,717996329,,5429307,1499880265,717996329,,0.741686892466,-0.871681271052,0.328698246124,0.0979185692407,0.942545774817,-0.215720065353,0.235550991457,0.0168948390504,0.0140861706502,-0.0088871800176,0.00855914162923,-0.00331053992034,0.0283524538043,-5.44442176819,3.03335213661,3.50369215012,-0.670768558979,-2.22574973106,1.14555859566,5429652,1499880265,716082795,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.07017962104575767, -0.0030679615757708274, 0.7528010716547668, 0.0015339807878854137, -0.5476311412750927, 0.004218447166684887, 1.2563302652781538, -0.0011504855909140602, -0.971009838731467, 1.0826069410501307, 0.5886651273510275, -0.8471408901097197, 0.6994952392757486, 0.9533690596707847, -0.8410049669581781, -12.565987119160338)","(0.0, 0.0019634954081253035, -0.012566370612001944, -0.01021017612225158, -0.011780972448751823, -0.008639379795751335, 0.010995574285501701, -0.012173671530376884, -0.006675884387626033, 0.024740042142378828, -0.0011780972448751821, 0.00510508806112579, 0.005497787142750851, 0.003926990816250607, -0.008639379795751335, -0.006283185306000972, 0.0)","(0.0, 0.0, -0.444, -14.676, 0.248, -23.436, 0.016, 0.008, -0.184, -10.968, -15.208, -0.308, -27.556, 0.636, -2.356, 0.028, -20.48)",541433,1499880261,447492104,robotiq_force_torque_frame_id,3.90000009537,-4.05999994278,16.0900001526,-0.108000002801,-0.0140000004321,-0.0619999989867,0
2017/07/13/01:24:21.464900,488911,1499880265,727996214,,5429308,1499880265,727996214,,0.740613360625,-0.872734610577,0.328268222236,0.0986631541446,0.942517091164,-0.216202508283,0.234911877711,-0.00335527379924,0.00926431075111,-0.00679841111064,0.0193019309722,0.0127057788028,-0.00307040698814,-5.18835067749,2.63164186478,3.53666353226,-0.56799608469,-2.14049053192,1.13310587406,2147229,1499880265,729999872,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)",541434,1499880261,455669292,robotiq_force_torque_frame_id,3.66000008583,-3.6400001049,16.1599998474,-0.105999998748,-0.01600000076,-0.0680000036955,0
2017/07/13/01:24:21.475134,488912,1499880265,737996478,,5429309,1499880265,737996478,,0.741486864018,-0.872454688751,0.329687736134,0.0981136855817,0.942265055601,-0.216428708935,0.2359425431,-0.00149330473355,-0.00117901099946,0.00972804390772,0.00639742239398,-0.0201395060624,-0.0114927175238,-5.23672151566,3.19264888763,3.50960826874,-0.745375096798,-2.11752557755,1.03129076958,2147229,1499880265,729999872,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)",541435,1499880261,467944088,robotiq_force_torque_frame_id,4.01000022888,-2.82999992371,16.1900005341,-0.104000002146,-0.0179999992251,-0.0719999969006,0
2017/07/13/01:24:21.486015,488913,1499880265,747996475,,5429310,1499880265,747996475,,0.741183471435,-0.872353365477,0.329076558945,0.0988000924389,0.942331025415,-0.21597694269,0.235806574337,0.00497539568834,0.00228895408007,-0.00124434234685,-0.00242505629925,0.00540300563392,0.0116351916047,-5.38475561142,3.03564357758,3.41942405701,-0.680701255798,-2.23612785339,1.14409196377,5429655,1499880265,746053938,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.07056311624272903, -0.0030679615757708274, 0.7528010716547668, 0.0015339807878854137, -0.5464806556841787, 0.004218447166684887, 1.2559467700811826, -0.0011504855909140602, -0.9706263435344955, 1.0829904362471021, 0.5878981369570848, -0.8479078805036625, 0.698728248881806, 0.952602069276842, -0.839854481367264, -12.565987119160338)","(0.0, 0.0035342917346255468, 0.0035342917346255468, -0.0007853981632501215, 0.00039269908162506076, -0.0035342917346255468, 0.009032078877376396, 0.004319689897875668, 0.001570796326500243, -0.0027488935713754254, -0.012566370612001944, 0.001570796326500243, 0.01021017612225158, 0.006283185306000972, 0.006283185306000972, -0.005497787142750851, 0.0)","(0.0, 0.0, -0.636, -14.708, 0.308, -23.436, 0.04, -0.008, -0.196, -10.904, -15.208, -0.28, -27.496, 0.644, -2.364, 0.036, -20.48)",541436,1499880261,476122951,robotiq_force_torque_frame_id,4.11999988556,-2.27999997139,16.1399993896,-0.104999996722,-0.0149999996647,-0.0790000036359,0
2017/07/13/01:24:21.495143,488914,1499880265,757996445,,5429311,1499880265,757996445,,0.74134901269,-0.872213187682,0.329270251368,0.0986067302902,0.942359732049,-0.216008732044,0.235743665525,0.0160255295438,0.00476820836244,0.0205582240756,-0.0245541295864,-0.0202973324739,0.0270146998158,-5.38392400742,3.12264752388,3.60174751282,-0.706398665905,-2.15685653687,1.07410752773,5429656,1499880265,756086822,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.07056311624272903, -0.003451456772742181, 0.7524175764577954, 0.0015339807878854137, -0.5472476460781214, 0.004601942363656241, 1.2563302652781538, -0.0019174759848567672, -0.9713933339284383, 1.0822234458531594, 0.5882816321540562, -0.847524385306691, 0.6991117440787773, 0.9533690596707847, -0.839854481367264, -12.565987119160338)","(0.0, 0.003926990816250607, 0.006283185306000972, -0.004319689897875668, -0.005497787142750851, 0.009032078877376396, 0.0047123889795007284, -0.006283185306000972, -0.003141592653000486, -0.006675884387626033, -0.02120575040775328, 0.012566370612001944, -0.009424777959001457, 0.006675884387626033, -0.003141592653000486, -0.01021017612225158, 0.0)","(0.0, 0.0, -0.508, -14.74, 0.436, -23.436, 0.008, -0.016, -0.204, -11.028, -15.24, -0.28, -27.556, 0.608, -2.364, 0.036, -20.48)",541437,1499880261,488373707,robotiq_force_torque_frame_id,3.90000009537,-2.47000002861,16.2299995422,-0.108000002801,-0.01600000076,-0.0869999974966,0
2017/07/13/01:24:21.506027,488915,1499880265,767994247,,5429312,1499880265,767994247,,0.74096396086,-0.872940648793,0.329172335113,0.0985869159543,0.942290102659,-0.21646698247,0.235609906274,-0.000215743135536,0.00865315714961,-0.00758812707288,0.00950673151375,0.00514698701503,0.00505589567835,-5.08985233307,2.74595189095,3.64260911942,-0.538800239563,-2.08990001678,1.13341712952,5429657,1499880265,766084614,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.07017962104575767, -0.0023009711818281204, 0.7516505860638527, 0.0019174759848567672, -0.5472476460781214, 0.004218447166684887, 1.2555632748842112, -0.0019174759848567672, -0.9713933339284383, 1.0822234458531594, 0.5875146417601135, -0.8471408901097197, 0.6991117440787773, 0.952602069276842, -0.8406214717612067, -12.565987119160338)","(0.0, 0.006675884387626033, -0.00039269908162506076, -0.01060287520387664, -0.005497787142750851, -0.001570796326500243, 0.0035342917346255468, 0.018849555918002914, -0.012566370612001944, 0.012173671530376884, 0.02631083846887907, 0.009817477040626518, -0.010995574285501701, -0.011780972448751823, -0.009424777959001457, -0.0023561944897503642, 0.0)","(0.0, 0.0, -0.54, -14.708, 0.308, -23.372, 0.008, -0.016, -0.176, -10.936, -15.268, -0.308, -27.524, 0.636, -2.344, 0.036, -20.48)",541438,1499880261,496540923,robotiq_force_torque_frame_id,4.25,-3.18000006676,16.3999996185,-0.105999998748,-0.0189999993891,-0.082000002265,0
2017/07/13/01:24:21.514863,488916,1499880265,777994745,,5429313,1499880265,777994745,,0.740964007111,-0.872491638977,0.328984228935,0.0987129661276,0.942379844383,-0.215984850704,0.235640666027,-0.017338779158,-0.0154708096063,-0.0127578089213,-0.00359051293492,0.0260783987404,-0.0245057838808,-5.28918600082,3.06946921349,3.49258089066,-0.710281848907,-2.1438305378,1.05465972424,2147231,1499880265,780999936,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)",541439,1499880261,504721267,robotiq_force_torque_frame_id,4.57000017166,-3.50999999046,16.3099994659,-0.101999998093,-0.0179999992251,-0.070000000298,0
2017/07/13/01:24:21.524314,488917,1499880265,787988030,,5429314,1499880265,787988030,,0.741038791942,-0.872185220675,0.328229613468,0.0983612629359,0.942599482337,-0.215696726501,0.235172702558,0.00445323752907,0.0013094582488,-0.0136193975091,0.0186479678063,-0.00746658326698,-0.00786039876774,-5.17198467255,2.94573545456,3.58470129967,-0.678744792938,-2.09137272835,1.03076124191,2147231,1499880265,780999936,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)",541440,1499880261,517016361,robotiq_force_torque_frame_id,4.32000017166,-3.25999999046,16.2900009155,-0.104999996722,-0.0109999999404,-0.0579999983311,0
