time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.endpoint_state.header.seq,.endpoint_state.header.stamp.secs,.endpoint_state.header.stamp.nsecs,.endpoint_state.header.frame_id,.endpoint_state.pose.position.x,.endpoint_state.pose.position.y,.endpoint_state.pose.position.z,.endpoint_state.pose.orientation.x,.endpoint_state.pose.orientation.y,.endpoint_state.pose.orientation.z,.endpoint_state.pose.orientation.w,.endpoint_state.twist.linear.x,.endpoint_state.twist.linear.y,.endpoint_state.twist.linear.z,.endpoint_state.twist.angular.x,.endpoint_state.twist.angular.y,.endpoint_state.twist.angular.z,.endpoint_state.wrench.force.x,.endpoint_state.wrench.force.y,.endpoint_state.wrench.force.z,.endpoint_state.wrench.torque.x,.endpoint_state.wrench.torque.y,.endpoint_state.wrench.torque.z,.joint_state.header.seq,.joint_state.header.stamp.secs,.joint_state.header.stamp.nsecs,.joint_state.header.frame_id,.joint_state.name,.joint_state.position,.joint_state.velocity,.joint_state.effort,.wrench_stamped.header.seq,.wrench_stamped.header.stamp.secs,.wrench_stamped.header.stamp.nsecs,.wrench_stamped.header.frame_id,.wrench_stamped.wrench.force.x,.wrench_stamped.wrench.force.y,.wrench_stamped.wrench.force.z,.wrench_stamped.wrench.torque.x,.wrench_stamped.wrench.torque.y,.wrench_stamped.wrench.torque.z,.tag
2017/07/05/22:33:39.107696,1,1499265219,46619565,,909007,1499265219,46619565,,0.752605161954,-0.24303735025,0.0753108888078,0.0392675397347,0.991749629708,-0.114464555228,-0.0422918182745,-0.101322707964,-0.228796670757,-0.0129937913352,-0.252397168922,0.144867441958,-0.130927610964,4.21901845932,4.05346679688,3.9481253624,-1.6838811636,1.55863249302,-0.486625671387,359450,1499265219,51000064,,['r_gripper_l_finger_joint'],"(0.020014470744132998,)","(0.0,)","(0.0,)",188684,1499265219,95599013,robotiq_force_torque_frame_id,-49.6399993896,-63.2000007629,52.4199981689,0.270999997854,0.126000002027,0.513000011444,0
2017/07/05/22:33:39.117650,2,1499265219,56620600,,909008,1499265219,56620600,,0.751245462763,-0.24459029433,0.0750081723136,0.0408949454872,0.991565104247,-0.11501898905,-0.0435531816434,-0.113746063164,-0.23227949948,-0.031459137417,-0.249401617413,0.172430899335,-0.163443175737,4.72904872894,3.7505364418,3.9144654274,-1.47244393826,1.77506554127,-0.513345181942,909368,1499265219,54670361,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.030679615757708275, -0.13460681413694506, 1.9489225910084182, -0.0782330201821561, -0.32903887900142126, 0.6864564025787226, 0.2044029399857314, -0.49777676566881673, 0.34284470609239, 1.0933448065653286, 0.7389952445637981, -0.7179030087303736, -0.4640291883353377, 1.3989904785514973, 0.40957287036540546, -12.565987119160338)","(0.0, -0.004319689897875668, -0.007853981632501214, 0.02670353755050413, 0.008246680714126275, -0.003926990816250607, -0.005890486224375911, -0.00510508806112579, -0.0027488935713754254, -0.135873882242271, 0.36049775693180575, -0.15707963265002428, -0.11623892816101798, -0.09032078877376397, -0.027096236632129192, 0.04358959806038174, 0.0)","(0.0, 0.0, -2.504, 1.124, 0.216, -4.992, 0.092, 0.688, 0.056, 5.272, -14.652, 1.836, -29.58, -0.736, 0.904, 0.324, -20.48)",188686,1499265219,115992510,robotiq_force_torque_frame_id,-49.5999984741,-63.2299995422,52.4199981689,0.264999985695,0.107000000775,0.490000009537,0
2017/07/05/22:33:39.127961,3,1499265219,66617722,,909009,1499265219,66617722,,0.750054136044,-0.245382226186,0.0748179487829,0.0404269879076,0.991393803415,-0.116268707268,-0.0445597678388,-0.109130765601,-0.206980740971,-0.0328293700422,-0.237876683178,0.172702638308,-0.180535433944,3.78730964661,3.59721827507,3.91074705124,-1.41661942005,1.39500617981,-0.458267390728,909369,1499265219,64704578,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.030679615757708275, -0.1349903093339164, 1.9489225910084182, -0.0790000105760988, -0.3294223741983926, 0.68568941218478, 0.20401944478876002, -0.49816026086578813, 0.34207771569844725, 1.096029272944128, 0.7393787397607694, -0.7186699991243164, -0.4651796739262517, 1.39975746894544, 0.40957287036540546, -12.565987119160338)","(0.0, 0.006283185306000972, 0.014922565101752308, 0.021598449489378342, -0.007853981632501214, -0.0019634954081253035, -0.0019634954081253035, -0.008639379795751335, -0.001570796326500243, -0.1299833960178951, 0.3063052836675474, -0.12762720152814475, -0.0860010988758883, -0.08128870989638758, 0.0011780972448751821, 0.0730420291822613, 0.0)","(0.0, 0.0, -2.44, 1.06, 0.308, -5.024, 0.128, 0.716, 0.044, 5.176, -14.532, 1.836, -29.668, -0.688, 0.884, 0.324, -20.48)",188686,1499265219,115992510,robotiq_force_torque_frame_id,-49.5999984741,-63.2299995422,52.4199981689,0.264999985695,0.107000000775,0.490000009537,0
2017/07/05/22:33:39.137598,4,1499265219,76612637,,909010,1499265219,76612637,,0.750019051379,-0.248696858652,0.0751608679941,0.0426048203557,0.991184735014,-0.117348937007,-0.0443494908794,-0.101472742308,-0.195382928128,-0.0173907158006,-0.231214412728,0.155940433581,-0.169275859315,2.48884415627,3.50573396683,4.09526920319,-1.39864766598,0.857776403427,-0.368854641914,359451,1499265219,75000064,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)",188688,1499265219,136654747,robotiq_force_torque_frame_id,-50.6599998474,-62.2799987793,52.6100006104,0.259999990463,0.105999998748,0.476999998093,0
2017/07/05/22:33:39.147604,5,1499265219,86617665,,909011,1499265219,86617665,,0.748135028469,-0.25048399827,0.0744476351972,0.0432212722463,0.990946152461,-0.118472910103,-0.0460631535932,-0.086733275203,-0.211890488406,0.00431934836154,-0.248368134976,0.106299710489,-0.196897035857,2.84646272659,3.4647591114,4.00153017044,-1.35610175133,1.0011882782,-0.405637234449,359451,1499265219,75000064,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)",188688,1499265219,136654747,robotiq_force_torque_frame_id,-50.6599998474,-62.2799987793,52.6100006104,0.259999990463,0.105999998748,0.476999998093,0
2017/07/05/22:33:39.158117,6,1499265219,96622336,,909012,1499265219,96622336,,0.747924662638,-0.252417836188,0.0745079159341,0.0439868393505,0.990788383572,-0.119491125849,-0.0461021451359,-0.0856612735601,-0.219969687294,-0.00417821456859,-0.245271036284,0.114916784595,-0.200386338258,2.32018375397,3.21837329865,3.80694293976,-1.20283949375,0.831014692783,-0.291277170181,359452,1499265219,102000128,,['r_gripper_l_finger_joint'],"(0.020014470744132998,)","(0.0,)","(0.0,)",188689,1499265219,148916859,robotiq_force_torque_frame_id,-50.2400016785,-62.9000015259,52.5900001526,0.270000010729,0.101999998093,0.493000000715,0
2017/07/05/22:33:39.167813,7,1499265219,106620329,,909013,1499265219,106620329,,0.746725354834,-0.254386015441,0.0740929305551,0.0449211673799,0.990569765296,-0.120548408093,-0.0471350199823,-0.0998993365826,-0.222710482336,-0.0322792522305,-0.228695638018,0.153513603672,-0.221394792861,2.3779103756,3.17150878906,3.7726328373,-1.20588648319,0.831570506096,-0.281107276678,909373,1499265219,104709083,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.03106311095467963, -0.13537380453088776, 1.9473886102205327, -0.07746602978821339, -0.32903887900142126, 0.6864564025787226, 0.20286895919784598, -0.4973932704718454, 0.336325287743877, 1.106767138459326, 0.7332428166092277, -0.7225049510940299, -0.4678641403050512, 1.3989904785514973, 0.4126408319411763, -12.565987119160338)","(0.0, -0.008246680714126275, 0.0007853981632501215, -0.006283185306000972, -0.01531526418337737, -0.007853981632501214, -0.0070685834692510935, -0.014922565101752308, 0.0047123889795007284, -0.1519745445888985, 0.278030949790543, -0.14254976662989705, -0.07579092275363672, -0.06479534846813502, -0.008639379795751335, 0.07264933010063623, 0.0)","(0.0, 0.0, -2.44, 1.28, 0.248, -5.024, 0.12, 0.796, 0.028, 5.24, -14.292, 1.68, -29.64, -0.788, 0.872, 0.308, -20.48)",188691,1499265219,165296256,robotiq_force_torque_frame_id,-50.6199989319,-63.1899986267,52.6199989319,0.280000001192,0.12800000608,0.485000014305,0
2017/07/05/22:33:39.177901,8,1499265219,116613884,,909014,1499265219,116613884,,0.746318438717,-0.256172148338,0.0743600580767,0.0455333399892,0.990389704377,-0.121769257317,-0.0471931815632,-0.0978629534616,-0.1946163798,-0.030031912821,-0.206808340377,0.143841357157,-0.167217482488,2.72067642212,3.28543257713,3.98744058609,-1.31492173672,0.975441098213,-0.376999378204,909374,1499265219,114694782,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.030679615757708275, -0.13460681413694506, 1.9485390958114468, -0.07861651537912745, -0.3294223741983926, 0.6860729073817513, 0.20363594959178868, -0.4973932704718454, 0.3344078117590202, 1.109068109641154, 0.7328593214122564, -0.7240389318819153, -0.4686311306989939, 1.398606983354526, 0.41302432713814763, -12.565987119160338)","(0.0, 0.006675884387626033, 0.008246680714126275, 0.0007853981632501215, 0.0007853981632501215, 0.003926990816250607, -0.01767145867312773, -0.023954643979128706, 0.01060287520387664, -0.13626658132389607, 0.29373891305554545, -0.12173671530376882, -0.08835729336563866, -0.05929756132538417, -0.027488935713754253, 0.054192473264258384, 0.0)","(0.0, 0.0, -2.504, 1.312, 0.124, -5.092, 0.128, 0.776, 0.044, 5.048, -14.384, 1.712, -29.756, -0.78, 0.924, 0.344, -20.48)",188691,1499265219,165296256,robotiq_force_torque_frame_id,-50.6199989319,-63.1899986267,52.6199989319,0.280000001192,0.12800000608,0.485000014305,0
2017/07/05/22:33:39.187554,9,1499265219,126617328,,909015,1499265219,126617328,,0.745041442685,-0.258095959918,0.0742735384947,0.0459944486262,0.990231446922,-0.122491813974,-0.0481865928573,-0.0930471059175,-0.213706960049,0.00175942566058,-0.240339715342,0.114332780587,-0.165049419208,2.75931358337,3.29845142365,4.15161705017,-1.34838366508,0.984172463417,-0.367649435997,359453,1499265219,124999936,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)",188693,1499265219,185662417,robotiq_force_torque_frame_id,-50.2599983215,-62.2999992371,52.7099990845,0.261000007391,0.119999997318,0.504000008106,0
2017/07/05/22:33:39.197735,10,1499265219,136617339,,909016,1499265219,136617339,,0.74380029786,-0.2594476015,0.0737970701593,0.0463733826824,0.990000953791,-0.123768850077,-0.0492837967545,-0.0965929510558,-0.175473729042,-0.000439300560816,-0.198513487012,0.12611094681,-0.135975674732,2.85602164268,3.17742562294,3.81907367706,-1.22165942192,1.00707244873,-0.391899555922,359453,1499265219,124999936,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)",188693,1499265219,185662417,robotiq_force_torque_frame_id,-50.2599983215,-62.2999992371,52.7099990845,0.261000007391,0.119999997318,0.504000008106,0
